years,month,pig
2016,1,"1,411,936"
,2,"1,299,040"
,3,"1,510,625"
,4,"1,353,123"
,5,"1,350,794"
,6,"1,246,641"
,7,"1,219,703"
,8,"1,288,178"
,9,"1,310,482"
,10,"1,456,715"
,11,"1,570,371"
,12,"1,528,139"
2017,1,"1,371,397"
,2,"1,392,944"
,3,"1,508,216"
,4,"1,344,793"
,5,"1,369,589"
,6,"1,303,829"
,7,"1,165,254"
,8,"1,337,638"
,9,"1,567,964"
,10,"1,309,810"
,11,"1,602,937"
,12,"1,454,771"
2018,1,"1,600,818"
,2,"1,358,197"
,3,"1,467,841"
,4,"1,465,140"
,5,"1,443,726"
,6,"1,300,789"
,7,"1,292,104"
,8,"1,300,137"
,9,"1,263,318"
,10,"1,687,322"
,11,"1,663,459"
