years	month	미세먼지(㎍/㎥/년)	초미세먼지(㎍/㎥/년)
2015	1	49	25
2015	2	84	30
2015	3	71	30
2015	4	45	21
2015	5	45	22
2015	6	35	20
2015	7	30	19
2015	8	34	22
2015	9	29	16
2015	10	45	25
2015	11	33	21
2015	12	48	28
2016	1	50	27
2016	2	45	23
2016	3	64	32
2016	4	71	30
2016	5	56	29
2016	6	46	28
2016	7	33	22
2016	8	34	22
2016	9	37	24
2016	10	37	20
2016	11	53	28
2016	12	48	30
2017	1	53	32
2017	2	46	28
2017	3	60	40
2017	4	56	26
2017	5	63	24
2017	6	41	23
2017	7	33	22
2017	8	21	13
2017	9	32	19
2017	10	29	15
2017	11	42	22
2017	12	49	31
2018	1	52	32
2018	2	53	30
2018	3	52	34
2018	4	52	26
2018	5	42	23
2018	6	37	24
2018	7	24	16
2018	8	22	14
