date,총지수
기간,총지수
2016.01,100.63
2016.02,101.03
2016.03,100.71
2016.04,100.88
2016.05,100.92
2016.06,100.87
2016.07,100.76
2016.08,101.15
2016.09,101.72
2016.10,101.86
2016.11,101.73
2016.12,101.89
2017.01,102.61
2017.02,102.89
2017.03,103.01
2017.04,102.92
2017.05,103.04
2017.06,102.98
2017.07,103.35
2017.08,104
2017.09,103.91
2017.10,103.54
2017.11,102.94
2017.12,103.21
2018.01,103.63
2018.02,104.37
2018.03,104.44
2018.04,104.63
2018.05,104.68
2018.06,104.39
2018.07,104.66
2018.08,105.21
2018.09,105.81
2018.10,105.46
