,,햄 5년동안의 구매빈도,,,,,
,,,,,,,
,,,,,,,
구분,,구입액,,구매빈도,,1회평균구입액,구매가구비율
,,금액,비중,회,비중,,
합계,,"56,897",100,12.16,100,"4,679",99.69
겨울철,12월,"5,101",8.96,1.12,9.2,"4,560",91.5
,1월,"6,217",10.93,1.1,9.06,"5,641",93.23
,2월,"4,277",7.52,0.76,6.28,"5,604",90.71
봄철,3월,"3,808",6.69,0.91,7.47,"4,193",91.97
,4월,"4,391",7.72,1.07,8.83,"4,091",93.07
,5월,"4,564",8.02,1.07,8.77,"4,278",91.02
여름철,6월,"4,423",7.77,1.02,8.36,"4,350",92.6
,7월,"5,108",8.98,1.14,9.36,"4,487",93.23
,8월,"5,629",9.89,1.19,9.79,"4,728",93.54
가을철,9월,"5,523",9.71,0.99,8.13,"5,586",93.07
,10월,"4,022",7.07,0.95,7.81,"4,237",91.65
,11월,"3,834",6.74,0.84,6.94,"4,546",90.39
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
